"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","LCSC","MANUFACTURER","Manufacturer_Part_Number","Part"
"10mm1","1","~","","Excluded from BOM","","","","",""
"C1,C2,C3,C4,C6","5","47uF","","","","C96123","","","CL31A476MPHNNNE"
"C5,C12,C15,C17,C18,C19,C20,C21,C22,C23","10","100nF","","","","C49678","","","CC0805KRX7R9BB104"
"C7,C8,C9,C10,C26,C27,C28,C29,C30,C31,C32,C33","12","1nF","","","","C46653","","","CL21B102KBCNNNC"
"C11,C13,C14,C24,C25","5","1uF","","","","C28323","","","CL21B105KBFNNNE"
"C16","1","330uf","","","","C122240","","",""
"C34","1","100uF","","","","C15008","","","CL31A107MQHNNNE"
"D1","1","H24VL10B","","","","C20617912","","","H24VL10B"
"D2","1","H3V3LD5B","","","","C20615817","","","H3V3LD5B"
"D3,D9","2","Green","","","","C2297","","","KT-0805G"
"D4","1","Yellow","","","","C2296","","","KT-0805Y"
"D5,D6,D7,D8","4","BAT54C,215","","","","C37704","","","BAT54C,215"
"D10","1","H5VND5B","","","","C20615818","","","H5VND5B"
"F1","1","Polyfuse","","","","C49166597","","",""
"F2","1","Polyfuse","","","","C720075","","",""
"FB1,FB2,FB3,FB4,FB5,FB6,FB7","7","FerriteBead","","","","C1015","","","GZ2012D101TF"
"FB8","1","FerriteBead","","","","C1015","","","GZ2012D101TF"
"H1,H2,H3","3","MountingHole","","Excluded from BOM","","","","",""
"J1,J2","2","B4B-XH-A","","","","","JST","",""
"J3","1","Conn_01x13_Pin","","","","","","",""
"J4","1","Conn_01x10_Pin","","","","","","",""
"L1,L2,L3,L4,L5","5","IRLZ24","","","","C3007","","IRLZ44NPBF",""
"R1,R2,R3,R4,R5,R6","6","4.7kΩ","","","","C17673","","","0805W8F4701T5E"
"R7,R8,R9,R10","4","47kΩ","","","","C17713","","","0805W8F4702T5E"
"R11,R17,R18,R19,R20,R30,R32,R34,R36,R38,R40,R42,R44,R48,R49,R50,R51,R52","18","220Ω","","","","C17557","","","0805W8F2200T5E"
"R12","1","330Ω","","","","C17630","","","0805W8F3300T5E"
"R13,R14,R15,R16,R25,R26,R27,R29,R53,R54,R55,R56,R57","13","10kΩ","","","","C17414","","","0805W8F1002T5E"
"R21,R22,R23,R24,R31,R33,R35,R37,R39,R41,R43,R45","12","100kΩ","","","","C149504","","","0805W8F1003T5E"
"R28","1","3kΩ","","","","C17661","","","0805W8F3001T5E"
"R46,R47,R58,R60,R61,R63","6","15kΩ","","","","C17475","","","0805W8F1502T5E"
"R59,R62","2","1kΩ","","","","C17513","","","0805W8F1001T5E"
"R64,R65,R66,R67,R68,R69,R70,R71","8","100Ω","","","","C17408","","","0805W8F1000T5E"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP11,TP12","11","TestPoint_Small","","","","","","",""
"TP10","1","TestPoint","","","","","","",""
"U1,U2","2","LMV393","","","","C7984","","",""
"U3","1","ESP32-C6-DevKitM-Amazon","","Excluded from BOM","","","","",""
"U4,U5","2","74HC595D","","","","C5947","","","74HC595D,118"
"U6,U7","2","VNQ7E100AJTR","","","","C2969931","","",""
"U8","1","OLED 256x128","","Excluded from BOM","","","","",""
